,0
0,6454.420007090133
1,9172.847714285714
2,7760.8375
3,17298.570166666665
4,13068.506476190476
5,16251.550206349208
6,14733.960180819184
7,12411.067777777778
8,6838.398657287155
9,13998.384166666665
10,13788.864746031744
11,3159.4356666666663
12,7241.266166666667
13,15200.73151678877
14,12042.35333333333
15,6098.516
16,10623.587333333335
17,12337.792042017516
18,14276.747551587301
19,18325.459
20,15214.078155257675
21,15248.98525
22,13944.56796825397
23,14503.78769047619
24,15769.548482739483
25,14603.9393015873
26,16610.81991666666
27,14188.77155952381
28,11906.437527777778
29,16677.937690476192
30,14760.313343795098
31,12168.098326796571
32,6893.015
33,13864.798333333332
34,14062.660593434342
35,9009.105476190474
36,15911.65583333333
37,16405.386297619043
38,2380.3375714285717
39,18172.106666666667
40,10667.024571428574
41,9520.369535876922
42,16155.89948653832
43,12733.89319307589
44,15371.841922097507
45,11461.396666666666
46,7314.128333333332
47,3584.472630952381
48,6797.1837261904775
49,3174.599
50,15827.93
51,12395.76169613083
52,16361.951058441557
53,7761.496000000001
54,14843.474588023091
55,12994.976166666667
56,13481.307245310249
57,15110.3819047619
58,12521.920833333335
59,13361.765668171633
60,14791.770833333336
61,13453.110666666667
62,16126.773263861009
63,6672.628000000001
64,6083.144452380952
65,18329.242504201684
66,11025.612166666668
67,16027.080875639065
68,14735.893759740262
69,14398.389738095237
70,13239.013500000001
71,14402.4525
72,18507.15149206349
73,10504.830833333333
74,11032.962069846822
75,15335.9815
76,16061.260970418467
77,5455.032571428572
78,12667.044285714286
79,17727.399642857144
80,14882.142827561327
81,8197.227986652235
82,8886.060636644717
83,2080.39
84,5813.8725
85,13946.609009240756
86,3587.2515988374366
87,10997.0725
88,5196.136916666667
89,13140.89903315149
90,7304.706666666666
91,10104.268977106229
92,16370.416761904758
93,17381.688380952382
94,18701.691143356642
95,15089.124850694974
96,15449.822761904763
97,6982.559166666666
98,16946.196035714285
99,760.5775000000001
100,15079.11443253968
101,6254.9608333333335
102,10708.910333333331
103,10452.143595499703
104,16391.056716834122
105,10357.199976190475
106,11876.660203232464
107,13118.322023809522
108,11248.14
109,8140.806531746032
110,9448.234833333334
111,12310.291648351651
112,17579.943781591777
113,11846.128865800867
114,18622.424928571432
115,8332.007833333331
116,10551.399666666668
117,17156.993095238096
118,8247.677738095239
119,6655.369976190475
120,15710.039594757363
121,14885.32545083013
122,10191.357083152958
123,11389.511015984019
124,14664.724429835684
125,11465.55593253968
126,18186.27259090909
127,12629.464514430016
128,6828.515311521811
129,7711.678352813038
130,671.1933333333333
131,17021.538833333332
132,9389.895666666665
133,12981.23869047619
134,12534.636345768848
135,15297.491547619049
136,11003.692430735933
137,20007.253333333334
138,15965.637659812406
139,16700.888
140,11517.79
141,15315.550549019608
142,16573.01889285714
143,7255.814047619048
144,18414.68383333333
145,9321.060060744809
146,14738.261956349208
147,13478.098509350299
148,10986.735
149,8485.021274725274
150,7402.354999999999
151,16194.333904761905
152,15515.50409321947
153,14787.9775
154,6296.881526116857
155,6319.5711468253985
156,6069.94026803752
157,6874.252166666665
158,9910.886488095239
159,9661.739115079365
160,7336.704000000001
161,4979.889162698414
162,16233.614801587299
163,10310.124404761906
164,17029.7396531524
165,10027.939421495172
166,2792.6121410533906
